deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
p255_107.wav,4.2359095,4.315519,3.6203358,3.9698017,3.7517376,NISQAv2
p301_077.wav,4.7685537,4.5016103,4.707115,4.528977,4.500048,NISQAv2
p237_008.wav,4.839159,4.6141877,4.7802906,4.501069,4.6749034,NISQAv2
p341_024.wav,4.2643824,4.280628,4.1054077,4.154007,4.373631,NISQAv2
p301_254.wav,4.346954,4.252031,4.3221087,3.9585817,4.317988,NISQAv2
p284_234.wav,4.5047398,4.4702177,4.3162994,4.5094023,4.40207,NISQAv2
p335_069.wav,4.260268,3.6520467,3.5387866,4.2964025,4.210119,NISQAv2
p302_085.wav,4.931453,4.569099,4.774435,4.51555,4.709867,NISQAv2
p264_196.wav,4.8526096,4.6462874,4.743853,4.6084046,4.5176454,NISQAv2
p295_007.wav,4.7183332,4.4889455,4.5684643,4.3543534,4.541681,NISQAv2
p255_195.wav,4.7279882,4.588715,4.6990147,4.4249907,4.5474677,NISQAv2
p264_178.wav,4.7706466,4.544971,4.7857075,4.5477033,4.559359,NISQAv2
p251_258.wav,4.8905,4.5731425,4.795708,4.5592194,4.5328856,NISQAv2
p323_019.wav,4.492655,4.1532903,4.3926306,4.454345,4.3450665,NISQAv2
p335_375.wav,4.4366646,3.5916421,4.552322,4.3163295,4.357249,NISQAv2
p336_007.wav,4.1587286,4.271492,4.0823183,4.253754,4.367968,NISQAv2
p341_266.wav,4.609439,4.367725,4.6105375,4.379949,4.449501,NISQAv2
p341_006.wav,4.5847282,4.487841,4.429652,4.4923472,4.6425414,NISQAv2
p363_103.wav,4.5875278,4.5286617,4.531374,4.3112364,4.379219,NISQAv2
p264_104.wav,4.359803,4.4018826,4.3783073,4.2913976,4.2760873,NISQAv2
p361_229.wav,4.8907204,4.7203355,4.7512183,4.6043134,4.599399,NISQAv2
p295_199.wav,4.704131,4.544368,4.732749,4.5388207,4.5776734,NISQAv2
p364_035.wav,4.5288324,4.5224013,4.4709496,4.4931254,4.5032377,NISQAv2
p249_241.wav,4.608561,4.4830728,4.461672,4.410561,4.4805617,NISQAv2
p251_296.wav,4.750106,4.610129,4.731287,4.475326,4.5613723,NISQAv2
p323_264.wav,4.6813793,4.5683646,4.670639,4.5773845,4.568478,NISQAv2
p299_253.wav,4.8538322,4.5225663,4.7829323,4.529815,4.6468954,NISQAv2
p237_177.wav,4.67857,4.5112777,4.635318,4.431441,4.553535,NISQAv2
p237_263.wav,4.9155855,4.617051,4.7157087,4.6247363,4.676365,NISQAv2
p361_246.wav,4.8681316,4.5961204,4.6531477,4.4766927,4.6189113,NISQAv2
p335_395.wav,4.874395,4.4821606,4.739981,4.65635,4.7098527,NISQAv2
p285_187.wav,4.519315,3.484195,3.2330601,4.4880037,4.0022388,NISQAv2
p275_405.wav,4.598979,4.612243,4.319458,4.45812,4.418608,NISQAv2
