deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
p302_187.wav,4.1942787,3.8103774,4.065657,3.9837976,4.204471,NISQAv2
p255_028.wav,4.181829,3.995807,4.2084513,3.5468512,4.2126718,NISQAv2
p241_140.wav,4.5637035,4.22323,4.220265,4.3670735,4.4080644,NISQAv2
p251_247.wav,4.6967845,4.4564514,4.532802,4.35128,4.426489,NISQAv2
p336_120.wav,3.2412112,3.2336593,3.9683526,3.5525448,3.9983852,NISQAv2
p323_411.wav,4.023718,3.6293623,3.3673284,3.8660774,4.0076013,NISQAv2
p272_160.wav,3.2108366,2.968001,2.7350962,3.0618825,3.0396147,NISQAv2
p275_143.wav,4.7286825,4.5547347,4.6107163,4.4284086,4.5135,NISQAv2
p255_130.wav,3.410628,3.671402,3.6137297,3.2234619,3.9552402,NISQAv2
p361_387.wav,1.5102047,2.979944,2.2717445,2.984513,3.6316292,NISQAv2
p234_193.wav,4.1379423,3.8942301,3.6209714,3.141001,4.0709586,NISQAv2
p333_188.wav,3.610738,3.5555098,3.0090191,3.1708558,3.6509655,NISQAv2
p284_079.wav,3.9840312,4.120217,4.1773977,3.905448,4.2023196,NISQAv2
p275_166.wav,3.346243,3.4718232,2.3733044,3.0985067,2.9274747,NISQAv2
p316_272.wav,3.4527051,3.1444175,3.4146154,3.2787645,3.5994585,NISQAv2
p251_059.wav,3.633851,4.1431355,4.238856,3.5244544,3.9151704,NISQAv2
p285_214.wav,4.327854,4.5042133,4.3584332,4.1990757,4.4513183,NISQAv2
p264_046.wav,4.21325,3.7248092,4.2186084,3.193586,4.2865834,NISQAv2
p326_122.wav,3.8039439,3.7286928,3.9613378,3.8860636,4.155961,NISQAv2
p361_404.wav,1.5386685,3.5772026,2.3758512,2.8202398,3.6155765,NISQAv2
p335_307.wav,4.3624697,4.264767,3.865582,4.3086762,4.2711835,NISQAv2
p275_295.wav,4.7043,4.5132318,4.404883,4.3312984,4.515343,NISQAv2
p234_142.wav,4.198042,4.2667923,4.18441,3.8627975,4.256702,NISQAv2
p363_027.wav,4.3112564,4.356021,4.442172,4.2749553,4.455935,NISQAv2
p364_185.wav,3.0711472,2.9252665,3.6683815,3.1386416,4.0244293,NISQAv2
p316_165.wav,2.730584,2.7867398,3.4483578,2.7171156,3.8919756,NISQAv2
p361_155.wav,4.2764525,3.3532116,3.0993345,4.3769407,3.9931555,NISQAv2
p302_251.wav,3.0057256,3.0491135,2.9384093,3.1047852,3.1487002,NISQAv2
p251_241.wav,5.0300207,4.5660253,4.835376,4.647081,4.6759653,NISQAv2
p255_205.wav,4.1853967,4.010027,4.3357596,3.570576,4.1891093,NISQAv2
p361_403.wav,3.9463441,4.0495954,4.1703115,3.7382312,3.8633523,NISQAv2
p323_356.wav,4.9343157,4.5735135,4.714525,4.6696286,4.5988183,NISQAv2
p323_135.wav,3.2379372,3.8111534,3.2838047,3.4975972,3.5973547,NISQAv2
p234_169.wav,3.7504756,2.602191,2.7432084,3.1778266,3.9205916,NISQAv2
p251_243.wav,4.416997,4.3374987,4.202545,3.9884045,4.2897635,NISQAv2
p237_180.wav,4.043056,3.746443,3.2779744,3.3162148,4.1806836,NISQAv2
p284_269.wav,3.494479,3.2286136,3.8710034,4.0425205,3.818125,NISQAv2
p335_123.wav,3.1696625,2.763889,3.1693127,4.16332,3.255682,NISQAv2
p241_248.wav,3.9104104,3.0369134,3.0365202,3.4607751,3.339558,NISQAv2
p316_115.wav,3.5367303,3.301188,2.8341246,2.9244812,3.283859,NISQAv2
p305_242.wav,3.0449839,3.7996514,2.9711123,3.0357258,3.6069646,NISQAv2
p264_347.wav,4.890814,4.745465,4.822937,4.5658574,4.703728,NISQAv2
p361_239.wav,3.7530932,3.8158576,3.8442001,3.39475,4.2112613,NISQAv2
p305_012.wav,3.5450304,4.0085373,3.5753996,3.5595562,3.8548899,NISQAv2
p272_274.wav,4.626197,4.1159234,4.6791925,4.2675185,4.572725,NISQAv2
p255_060.wav,3.4938693,3.426316,3.2880504,3.2920392,3.393779,NISQAv2
p295_175.wav,3.9705334,3.9038408,3.6999571,3.6634004,3.716203,NISQAv2
p361_347.wav,4.1974664,3.365087,3.3453367,4.3118896,4.203296,NISQAv2
p305_117.wav,4.262005,4.0093923,4.150035,4.458561,4.3931875,NISQAv2
p305_181.wav,4.246113,4.220262,4.279267,4.164252,4.247639,NISQAv2
p341_132.wav,4.15978,3.7818675,4.1179967,4.0630555,4.272494,NISQAv2
p284_160.wav,1.7961879,3.7402241,2.0300014,3.1372864,3.660943,NISQAv2
p302_198.wav,4.5950775,4.321001,4.117732,4.2777524,4.410831,NISQAv2
p341_327.wav,4.711527,4.6378984,4.791868,4.605931,4.6658387,NISQAv2
p234_346.wav,3.8977985,3.7711945,3.919323,3.4971163,4.007699,NISQAv2
